"Colony.no.","Raw_file_name","Date_footage","Timepoint","Your_initials","Video_time_stamp","Event","Activity","Pollen_foraging","Standardized_time","...11","WGT","treatment","Obs_Duration","Pollen_foraging_binary","weight","enter_exit_binary","DateTime","RECORD","BattV_Avg","PTemp_C_Avg (Deg C) [Avg]","Air_Temp_Avg","RH (%) [Smp]","SlrW_Avg (W/m^2) [Avg]","SlrMJ_Tot (MJ/m^2) [Tot]","Grass_Temp_Avg (Deg C) [Avg]","Soil_Temp_2in_Avg (Deg C) [Avg]","Soil_Temp_4in_Avg (Deg C) [Avg]","WindDir (Degrees) [Smp]","WS_kph_ (kilometers/hour) [Avg]","Rain_mm_Tot (mm) [Tot]","...15","week"
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:26:18,"exit",0,"NA",0,NA,1,"Control",3600,NA,1,0,2024-05-29 11:26:18,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:26:24,"entrance_pollen",1,"yes",6,NA,1,"Control",3600,1,1,1,2024-05-29 11:26:24,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:26:52,"exit",0,"NA",34,NA,1,"Control",3600,NA,1,0,2024-05-29 11:26:52,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:26:59,"entrance_pollen",1,"yes",41,NA,1,"Control",3600,1,1,1,2024-05-29 11:26:59,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:27:28,"entrance_none",1,"no",70,NA,1,"Control",3600,0,1,1,2024-05-29 11:27:28,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:27:46,"exit",0,"NA",88,NA,1,"Control",3600,NA,1,0,2024-05-29 11:27:46,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:28:13,"exit",0,"NA",115,NA,1,"Control",3600,NA,1,0,2024-05-29 11:28:13,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:28:19,"entrance_pollen",1,"yes",121,NA,1,"Control",3600,1,1,1,2024-05-29 11:28:19,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:28:28,"entrance_pollen",1,"yes",130,NA,1,"Control",3600,1,1,1,2024-05-29 11:28:28,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:28:30,"entrance_pollen",1,"yes",132,NA,1,"Control",3600,1,1,1,2024-05-29 11:28:30,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:28:58,"entrance_none",1,"no",160,NA,1,"Control",3600,0,1,1,2024-05-29 11:28:58,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
1,"SUNP0001.AVI",2024-05-29,"timepoint_2","LHT",1899-12-31 11:29:30,"exit",0,"NA",192,NA,1,"Control",3600,NA,1,0,2024-05-29 11:29:30,129906,13.49,22.19,16.86,65.66,536.4,1.931,18.34,15.45,14.85,209.1,5.669,0,NA,2
